time,livestream_id,comment_owner_id,comment,label,category
02:50:41,1083670332066023,thanhloannguyengv,O,0,accessory
01:03:52,694135311229364,MinhThuShop,Cybmofx,0,others
00:38:54,334551011003880,100009110728141,Chị chưa đc nè,0,others
01:50:08,1058566644621602,100009377767104,mm,0,others
02:01:06,661063847911444,100030644941190,Chị lai dể thương quá,0,accessory
02:14:12,2293655107592149,100009297303616,Chúc Ngọc Anh sinh nhật vui vẻ luôn buôn may bán đắt,0,grocery
01:30:27,408488746856017,100055986288852,Chửi cũng có duyên,0,fnb
00:51:27,653335818540444,100026871004580,Alo,0,grocery
01:05:19,1080142369113964,100039543404151,mạng bên bị gì rôiđó nhàn,0,fnb
01:48:09,253341949440683,trang.soociiu,Mình có chưa,0,others
02:12:07,942058349617438,100008469617427,B bbbjbjj,0,clothing
00:01:02,1727308047438185,100013167751861,ZzzzzzZzzz© x x xx x xx zxxxx X z X xx x X z   xX x AZ X,0,clothing
00:45:35,1030449370667007,lethi.hue.942145,Khoa nói hay thế e,0,grocery
01:40:44,2718476475103469,tranhaxvb,m,0,clothing
00:34:02,369712650949647,100052099689544,Mmnnnnn,0,others
00:06:02,1502326523488994,100011797654885,Tang e voi,0,others
01:38:44,688836085388149,100050656312462,Bé nhàn có tâm thiệt,0,fnb
00:57:15,1309437426081007,bao.nam.330467,Xin lộc ông và cậu bé,0,fnb
13407.0,712678516299037,100009419132039,...,0,others
00:31:56,636712630612198,pham.candy.54922,1tr,0,others
12159.0,386843539227154,lam.be.31105,.,0,others
00:29:44,810222242755739,van.le.948,Kjg,0,grocery
00:41:30,792473024566446,binh.truongcanh.9,Sinh 1971 như còn trẻ lắm,0,grocery
02:02:58,2725798877680031,100006876108156,Cảm ơn bé aikhai và ông nhiều,0,fnb
00:02:24,1348028192026035,100028089455806,C nhìn thấy e không,0,grocery
02:11:39,843269506436773,100021657785629,Tuyet voi,0,fnb
14200.0,386843539227154,camhuong.nguyen.35762,..,0,others
01:50:24,355969379011566,100052099689544,Mnmmmm,0,others
03:00:15,707700800157515,thu.vo.562329,ông dìm hsngf vợ vậy ông nhỏ,0,others
02:58:17,708860670066495,100008571249880,—,0,clothing
02:56:49,2967232296838115,100008706639023,63dcs,1,others
00:09:10,439547084105740,viet.bach.1656,Tặng 2 50k 634,1,others
01:28:25,2710746509253461,100052016612002,Quà,1,others
990.0,294342205220473,thanhhue.caothi.7,Tặng 507 xanh,1,clothing
00:04:43,1502326523488994,kimcuc.tran.5811877,Chuẩn kem trộn cân tho,1,others
00:44:13,3463336577064291,100005983534996,Dk 44,1,others
00:15:30,217247006631483,huon.huon.77,Anh Nguyễn,1,others
00:00:01,2549678998492368,huong.tang.5203,Thannhan Minh,1,grocery
00:10:02,439547084105740,vu.minhhieu.10888,Tặng 3886,1,others
4780.0,373207977357438,100009975580319,.,1,clothing
00:10:22,439547084105740,ung.ly.39,Tặng3 50k 853,1,others
00:05:49,1502326523488994,100011397526295,Chuẩn kém trộn sóc trăng,1,others
00:10:01,439547084105740,100040106323666,Tặng 3 50k 543,1,others
00:59:58,694135311229364,100004316141445,lê Châu Pha Lê,1,others
00:45:19,2214633425510219,nkookcuong.truongtuanlinh,thu hiền nguyễn,1,grocery
00:20:22,810222242755739,buihuyen.htk,Huỳnh Thị Kim Nga,1,grocery
00:20:17,1634102536748151,xuka.tran1,Đỗ Thu Thuỷ,1,clothing
978.0,294342205220473,sophie.nguyen.56808,Tặng 543,1,clothing
00:41:36,3463336577064291,100009517808693,Dk 83,1,others
1784.0,240701183465730,100024526440876,Dcs,1,clothing
00:47:29,567417977156414,100040805303307,Kim dung,1,grocery
12428.0,161643432327824,100011602742315,Sz10,1,others
1450.0,294342205220473,100035542493704,Tặng 687,1,clothing
03:10:40,4538208109586156,tamloan.ha,Tặng e hả,1,others
02:06:47,721698805251944,tuyenngoc.nguyenthi.7,10.0,1,others
1462.0,1274778199533482,dao.hoaanh.14811,Dca,1,clothing
00:46:52,635539160472142,100030234905955,Đa chia se,1,accessory
00:39:37,567915540677411,cammy.tran.16,Thuy Nguyen,1,clothing
00:05:32,298643751317557,100009173849992,Qoà không đồng,1,others
10215.0,161643432327824,100041144884981,...,1,others
00:05:12,481628295565507,zume.ken,Thử quần nha c,2,clothing
00:52:14,1218031495236409,without.you.2902,Lên bộ ngắn đi c,2,clothing
4521.0,240701183465730,nguyenthileminh131979,57 kg mac đuoc ko,2,clothing
2571.0,267091954758578,100049249779275,Chi co gui hang qua buu dien ko,2,clothing
01:53:04,2516136532036162,100004587964812,Bàn chải đánh răng bao nhiêu ạ,2,grocery
00:37:15,3340209532761444,hoahuongduong.nguyen.71,Lên đầm liền k c,2,clothing
00:00:45,3507700935943462,thanh.diepthanh.1,Màu nay có mấy màu váy Và gia bn đó shop,2,others
01:47:42,338782950504324,emi.nguyen.756,còn dầu nóng hàn k c,2,grocery
01:03:40,1558977370976989,100030692415816,Mac mau vang di e,2,clothing
02:05:58,2523324911298613,kimngan.huynh.3910,Giày đi e,2,grocery
00:33:45,2446348135659161,phung.hoang.7359,Sz lớn có k chị,2,clothing
00:45:22,331603458265287,100003993097374,đầm bao nhiêu E,2,clothing
00:25:30,3300865963295964,ChiAn200810,Có đai nhỏ hơn k e,2,clothing
02:17:38,972290103174033,100012053741364,E ơi còn hạt hướng dương khg vậy,2,grocery
00:48:30,562128984378638,pjmpjm.duyen,Có dầu gội k chị,2,grocery
00:11:47,1019115818517347,luyen.quynhnga,Màu ghi sz gì,2,clothing
02:14:30,3250251498429809,ngoc.linh.1048,Váy bạn mẫu đang mặc là rời hay liền ạ,2,clothing
02:19:51,2590009647926421,100025317981775,Bằng gì dậy chị,2,accessory
01:07:42,2601973956730233,100037402303403,Đầm xanh sai mấy,2,clothing
00:21:44,743253886282551,vang.le.5437,Em hỏi để biết size,2,clothing
01:08:20,2446348135659161,ly.sana.90,Trụ vàng 19kg vừa k shop,2,clothing
01:01:23,2818650885125025,100042451024185,Xoài nhiu vậy a,2,fnb
00:05:48,379548609906167,100026764860040,sđt  mã  địa chỉ trong cùng một tin nhắn,2,accessory
01:34:51,382420022750036,100023650043893,Hướng dẫn sử dụng đi e,2,grocery
8470.0,831523884089006,chithien2533,Lên ao khoác len đi chi,2,others
00:57:40,2523324911298613,100036671310557,Bô xe máy dán ok k e,2,grocery
680.0,267091954758578,100054061111320,chị có nhận in áo số lượng lớn không ạ,2,clothing
